Product Name,Original Price (in Rs.),Discount Percentage,Final Price (in Rs.),Ratings,Total Ratings count
(Renewed) DELL Latitude 5490 Core i5 8th Gen Laptop,"89,998",74%,"23,297",3.3,549
(Refurbished) Dell Latitude 5490 Business 7th Gen Laptop PC (Intel Core i5-7300U,"49,999",63%,"18,499",4.3,91
HP Chromebook x360 Intel Celeron N4120 14 inch(35.6 cm) Micro-Edge,"33,578",37%,"20,990",3.8,437
ASUS TUF Gaming F15,"97,990",26%,"72,990",4.4,272
Lenovo IdeaPad Slim 3 Intel Core i7 12th Gen 15.6 inch (39.62cm) FHD Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office 2021/3months Game Pass/Arctic Grey/1.63Kg),"82,990",25%,"62,490",4.1,481
"Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450H 14"" (36cm) WUXGA IPS 300Nits Thin and Light Laptop (16GB/1TB SSD/Win 11/Office 21/BacklitKB/FHD Camera/Alexa/3 Mon Game Pass/Grey/1.9Kg)","82,590",25%,"61,720",4.1,83
Chuwi FreeBook 13.5 Inch 2 in 1 Touchscreen Laptop,"49,990",24%,"37,990",3.7,129
Acer Swift Go 14 AI PC Premium Laptop Intel Core Ultra 7 155H (35.56cm 14-inch IPS Touchscreen WUXGA/16GB/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win 11/MSO)SFG14-73T,"1,29,990",19%,"1,04,999",No Ratings,No Ratings
Acer Swift Go 14 AI PC Premium Laptop Intel Core Ultra 7 155H (35.56cm 14-inch OLED WQXGA+/16GB LPDDR5x/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win 11/MSO) SFG14-73,"1,29,990",19%,"1,04,999",No Ratings,No Ratings
"(Refurbished) Lenovo ThinkPad 7th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics)","67,000",73%,"18,190",4.1,136
ASUS Vivobook 15,"54,990",32%,"37,529",4.3,77
"Lenovo IdeaPad Slim 3 12th Gen Intel Core i3 15.6"" (39.6cm) FHD 250 Nits Thin and Light Laptop (8GB/256GB SSD/Windows 11/Office 2021/Alexa Built-in/3 Month Game Pass/Grey/1.62Kg)","50,290",34%,"32,990",4,83
HP Victus Gaming Laptop,"86,307",34%,"56,939",4.2,27
Dell Inspiron 3520 Laptop,"67,384",23%,"51,900",3.9,15
ASUS Vivobook 16X (2022),"1,04,990",52%,"49,990",4.2,"1,228"
Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/8 GB RAM/512GB SSD) AL15-52,"52,990",38%,"32,900",3.7,122
MSI GF63 Thin,"81,990",44%,"45,990",3.8,15
HP Victus Gaming Laptop,"88,646",22%,"68,800",4.1,392
Acer Nitro V Gaming Laptop 13th Gen Intel Core i5-13420H with RTX 4050 Graphics 6GB VRAM,"99,999",22%,"77,875",4.1,379
ASUS Vivobook 14,"48,990",36%,"31,490",4.1,154
"Lenovo IdeaPad Slim 3 Intel Core i5-12450H 15.6"" (39.6cm) FHD IPS Thin & Light Laptop (16GB/512GB SSD/Win 11/Office 2021/Alexa/Backlit KB/1 Yr Warranty + ADP/3 Month Game Pass/Grey/1.62Kg)","77,490",29%,"54,990",4,409
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13420H 14"" (35.5cm) WUXGA OLED 400Nits Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Grey/1.46Kg)","94,590",26%,"70,190",3.9,14
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13500H 16""(40.6cm) WUXGA IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Cloud Grey/1.89Kg)","1,05,190",32%,"71,690",4.1,25
"Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450H 14"" (36cm) WUXGA IPS 300Nits Thin and Light Laptop (16GB/1TB SSD/Win 11/Office 21/BacklitKB/FHD Camera/Alexa/3 Mon Game Pass/Grey/1.9Kg)","82,590",25%,"61,720",4.1,83
Dell 14 Laptop,"57,778",39%,"34,990",3.8,499
Dell 15 Laptop,"51,254",22%,"39,990",4.3,19
Dell Inspiron 3530 Laptop,"87,262",30%,"60,990",3.7,68
Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram,"38,000",35%,"24,619",3.5,38
Dell Inspiron 7430 2in1 Touch Laptop,"80,198",27%,"58,490",4.1,119
"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 7535HS 15.6"" (39.62cm) FHD IPS 120Hz Gaming Laptop (16GB/512GB SSD/Win 11/NVIDIA RTX 2050 4GB/Alexa/3 Month Game Pass/Onyx Grey/2.32Kg)","87,590",36%,"55,990",4.1,470
ASUS Zenbook 14X OLED,"98,990",25%,"74,222",4.1,92
ASUS Vivobook 16X (2022),"86,990",37%,"54,990",4.2,69
ASUS Vivobook 14,"56,990",33%,"37,990",4,212
HP Laptop 15,"31,964",16%,"26,989",3.3,256
Dell (Refurbished) Latitude E5470 14 Inches Laptop (Intel Core I5 6Th Gen/8Gb/256 Gb Sdd/Windows 10/Ms O,"89,990",83%,"14,969",3.3,201
"Acer One 14 Business Laptop AMD Ryzen 3 3250U Processor (8GB RAM/256GB SSD/AMD Radeon Graphics/Windows 11 Home) Z2-493 with 35.56 cm (14.0"") HD Display","43,999",41%,"25,990",3.8,458
Dell 15 Laptop,"67,743",29%,"47,990",3.5,526
(Refurbished) Dell Latitude Laptop 5400 Intel Core i5 Mobile-8th Gen -Processor ,"59,999",60%,"23,749",4.4,7
HP Victus Gaming Laptop,"69,072",27%,"50,300",3.9,243
Chuwi FreeBook 13.5 Inch 2 in 1 Touchscreen Laptop,"49,990",24%,"37,990",3.7,129
Acer Swift Go 14 AI PC Premium Laptop Intel Core Ultra 7 155H (35.56cm 14-inch IPS Touchscreen WUXGA/16GB/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win 11/MSO)SFG14-73T,"1,29,990",19%,"1,04,999",No Ratings,No Ratings
Acer Swift Go 14 AI PC Premium Laptop Intel Core Ultra 7 155H (35.56cm 14-inch OLED WQXGA+/16GB LPDDR5x/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win 11/MSO) SFG14-73,"1,29,990",19%,"1,04,999",No Ratings,No Ratings
HP 255 G8 Notebook PC,"38,068",28%,"27,500",4,126
HONOR MagicBook X16 (2024),"77,999",37%,"48,990",4.2,327
ASUS Vivobook Go 15 OLED (2023),"79,990",36%,"50,990",4.5,29
"(Refurbished) Lenovo ThinkPad X250 5th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/12.5"" (31.8 cm) HD/Windows 10 Pro/MS Office/WiFi/Webcam/Intel Graphics)","89,999",83%,"14,899",4,1
Dell G15-5530 Gaming Laptop,"1,07,215",25%,"79,990",4.1,328
"(Refurbished) HP C640 10th Gen Intel Core i5 Thin & Light FHD Laptop (8 GB DDR4 RAM | 64 GB eMMC | 14"" (35.6 cm) FHD | Windows 11 | WiFi | Bluetooth | Intel Graphics)","1,00,000",82%,"18,400",3.8,32
ASUS TUF Gaming F15 - AI Powered Gaming Laptop,"75,990",34%,"49,990",4.3,80
(Renewed) DELL Latitude 5490 Core i5 7th Gen Laptop,"69,000",70%,"20,694",3.5,364
ASUS TUF Gaming F15,"80,990",28%,"58,490",4.3,189
"(Refurbished) Dell Latitude 5290 8th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/12.5"" (31.8 cm) HD Display/Windows 11/MS Office/WiFi/BT/Intel UHD Graphics)","89,999",80%,"17,899",4.7,4
ASUS Vivobook 15,"76,990",23%,"58,990",3.7,175
ASUS ROG Strix G16 (2023) 64WHrs Battery,"1,25,990",29%,"89,990",4.2,55
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13420H 14"" (35.5cm) WUXGA OLED 400Nits Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Grey/1.46Kg)","94,590",26%,"70,190",3.9,14
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13500H 16""(40.6cm) WUXGA IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Cloud Grey/1.89Kg)","1,05,190",32%,"71,690",4.1,25
"Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450H 14"" (36cm) WUXGA IPS 300Nits Thin and Light Laptop (16GB/1TB SSD/Win 11/Office 21/BacklitKB/FHD Camera/Alexa/3 Mon Game Pass/Grey/1.9Kg)","82,590",25%,"61,720",4.1,83
Dell 14 Laptop,"57,778",39%,"34,990",3.8,499
Dell 15 Laptop,"51,254",22%,"39,990",4.3,19
Dell Inspiron 3530 Laptop,"87,262",30%,"60,990",3.7,68
Apple 2023 MacBook Pro (14-inch,"1,99,900",7%,"1,86,899",4.7,14
Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 15.6 inch (39.62cm) FHD Thin & Light Laptop (8GB/256GB SSD/Windows 11/3months Game Pass/Arctic Grey/1.63Kg),"47,490",34%,"31,537",4,14
"(Refurbished) Lenovo ThinkPad 7th Gen Intel Core i5 Thin & Light Touchscreen HD Laptop (8 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics)","89,999",78%,"19,492",4,41
HP 250 G9 Intel Celeron Dual Core 4500u - (8 GB/256 GB SSD/DOS) 8Y2Y9PA Laptop (15.6 inch,"27,734",21%,"21,999",5,1
ASUS TUF Gaming F15 (2023) 90WHr Battery,"1,33,990",25%,"99,990",4.2,118
Apple 2024 MacBook Air 13? Laptop with M3 chip: 34.46 cm (13.6?) Liquid Retina Display,"1,14,900",3%,"1,10,890",3.5,8
(Refurbished) Dell Latitude E7470 Intel Core i7 6th Gen 14 inches Laptop /16 GB RAM/512 GB SSD/Windows 1,"1,00,000",76%,"23,948",3.5,143
HP Laptop 15s,"64,234.03",18%,"52,990",4.1,365
HP Laptop 15,"62,527",31%,"43,300",3.2,14
"Acer Travelmate Business Laptop Intel Core i5-1135G7 Processor (16GB DDR4/ 512GB SSD/Intel Iris Xe Graphics/Windows 11 Home) TMP214-53 with 35.56 cm (14.0"") Full HD Display","85,999",56%,"37,990",3.4,31
MSI Modern 14,"78,990",37%,"49,650",4,105
ZEBRONICS Laptop PRO Series Z NBC 4S,"62,999",44%,"34,990",3.8,137
Chuwi FreeBook 13.5 Inch 2 in 1 Touchscreen Laptop,"49,990",24%,"37,990",3.7,129
