Product Name,Original Price (in Rs.),Discount Percentage,Final Price (in Rs.),Ratings,Total Ratings count
MSI Katana 17,"1,17,990",25%,"88,990",3.1,9
"Lenovo S14 Intel Core I5 12th Gen 14"" (35.56 cm) FHD IPS (1920x1080) Antiglare 300nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Professional/Cloud Grey/1.5 kg)","69,207",31%,"47,790",No Ratings,No Ratings
HP 15s AMD Ryzen 3-5300U 15.6inch(39.6cm) FHD Laptop (8GB RAM/512GB SSD,"48,699",33%,"32,570",No Ratings,No Ratings
ASUS Vivobook Pro 15 Ryzen 7 Octa Core AMD R7-4800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Max Q) M6500IH-HN701WS Creator Laptop (15.6 Inch,"82,990",29%,"58,990",3.7,3
(Refurbished) DELL LATITUDE 7480 (CORE i5-7300U 2.6Ghz 7th GEN/8GB/512GB SSD/WEBCAM/14''/WIN PRO) 1 Year Warranty,"58,990",55%,"26,500",3,9
"Lenovo V15 Intel Core i3 11th Gen 15.6"" (39.62 cm) Intel Integrated UHD Graphics/FHD Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11/MS Office/Iron Grey/1.5 Kg","59,800",41%,"34,990",2.9,4
"(Refurbished) Lenovo ThinkPad L450 5th Gen Intel Core i3 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/14"" (35.6 cm)/Windows 10/MS Office/Wifi/Bluetooth 4.0/Webcam/Integrated Graphics)","1,00,000",84%,"15,590",3.6,10
Chuwi FreeBook 13.5 Inch 2 in 1 Touchscreen Laptop,"49,990",24%,"37,990",3.7,129
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13500H 16""(40.6cm) WUXGA IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Cloud Grey/1.89Kg)","1,05,190",32%,"71,690",4.1,25
"Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450H 14"" (36cm) WUXGA IPS 300Nits Thin and Light Laptop (16GB/1TB SSD/Win 11/Office 21/BacklitKB/FHD Camera/Alexa/3 Mon Game Pass/Grey/1.9Kg)","82,590",25%,"61,720",4.1,83
Dell 15 Laptop,"48,692",20%,"38,990",3.8,499
Dell 15 Laptop,"51,254",22%,"39,990",4.3,19
Dell Inspiron 3530 Laptop,"87,262",30%,"60,990",3.7,68
(Refurbished) HP Intel Windows 10 Pro PROBOOK 640 G2 CORE i5 6TH/8GB/256GB SSD/WEBCAM/14''/Win Pro,"28,889",31%,"19,799",5,1
Dell Vostro 3425 Metal Laptop,"70,250",25%,"52,990",2.8,3
ASUS ROG Strix G15 (2021) AMD Ryzen 7 Octa Core 4800H 15.6 inches Gaming Laptop (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) G513IH-HN086T (Eclipse Gray,"90,990",22%,"70,990",4.5,8
ASUS ROG Zephyrus G14 (2021),"2,04,000",41%,"1,19,990",3.9,19
(Refurbished) HP 15 (2021) 11th Gen Intel Core i3 15.6 inches FHD Screen Thin and Light Laptop (8GB RAM,"45,999",29%,"32,510",3.9,9
Dell (Renewed) Latitude Laptop E7470 Intel Core I5-6300U Processor,"1,00,000",74%,"25,749",2.7,3
(Refurbished) Lenovo ThinkPad L440 Intel Core i5 4th Gen 14 inches Laptop (16 GB/1 TB HDD/Windows 10/MS Office Pro 2019/Integrated Graphics),"1,00,000",84%,"15,598",3.2,18
Lenovo ThinkBook 14 Intel Core i3 10th Gen 14 inches Full HD Thin and Light Business Laptop (4GB RAM/1TB HDD/Windows 10 Home 64/Grey/1.5 kg,"45,800",33%,"30,800",3,29
Dell (Renewed Latitude E6430-I5-4 Gb-120 Gb 14-Inch Laptop (3Rd Gen Core I5/4Gb//Windows 7/Integrated Graphics),"1,00,000",87%,"12,998",2.7,3
"HP ZBook Firefly 14 inch G10 Mobile Workstation PC/13th Generation Intel® Core™ i7 Processor/ 35.6 cm (14"") inch /16GB RAM/1 TB SSD/Intel® Iris® X? Graphics/Win 11 Pro/Backlit KB/8F6D5PA","1,81,483",6%,"1,69,999",No Ratings,No Ratings
Acer Swift Go 14 AI PC Premium Laptop Intel Core Ultra 7 155H (35.56cm 14-inch IPS Touchscreen WUXGA/16GB/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win 11/MSO)SFG14-73T,"1,29,990",19%,"1,04,999",No Ratings,No Ratings
Acer Swift Go 14 AI PC Premium Laptop Intel Core Ultra 7 155H (35.56cm 14-inch OLED WQXGA+/16GB LPDDR5x/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win 11/MSO) SFG14-73,"1,29,990",19%,"1,04,999",No Ratings,No Ratings
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13420H 14"" (35.5cm) WUXGA OLED 400Nits Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Grey/1.46Kg)","94,590",26%,"70,190",3.9,14
Msi Gf63 Core I5 12Th Gen 12450H - (16 Gb/512 Gb Ssd/Windows 11 Home/4 Gb Graphics/Nvidia Geforce Rtx 2050/144 Hz) Thin Gf63 12Ucx-265In Gaming Laptop (15.6 Inch,"97,990",34%,"64,990",No Ratings,No Ratings
(Refurbished) Dell Inspiron 5620 Laptop,"76,990",15%,"65,441",No Ratings,No Ratings
(Refurbished) Dell Latitude 3400 (Core i5 8th Gen/ 8GB Ram/ 512GB SSD/Webcam/ 14''/ Win-10 Pro),"36,899",34%,"24,499",5,1
Asus Creator Pro 15 OLED M6500QC-LK741WS AMD Ryzen™ 7 5800H / NVIDIA® RTX™ 3050 4GB GDDR6/16GB DDR4/512GB PCIe® 3.0/15.6-inch/FHD (1920 x 1080) OLED 16:9/Quiet Blue/FP/Backlit KB/Win 11 Home/MSOffice,"1,03,990",23%,"79,990",No Ratings,No Ratings
(Refurbished) Dell Inspiron 5430 13th Gen Laptop,"86,490",15%,"73,515",5,1
Dell G16 7630 Gaming Laptop,"2,39,440",13%,"2,08,490",No Ratings,No Ratings
(Refurbished) ASUS [Smart Choice] Vivobook 16X 2023,"89,921",28%,"64,591",No Ratings,No Ratings
Lenovo V14 G3 IAP Laptop 12th Generation Intel® Core™ i5-1235U / 8GB DDR4 / 512 GB SSD PCIe / 14.0 FHD TN Display/Windows 11/Ms-Office/Silver (Grey) / 1 Year Onsite Warranty,"99,999",54%,"45,990",No Ratings,No Ratings
(Refurbished) HONOR MagicBook X14 (2023),"51,990",15%,"44,191",3.8,4
"(Refurbished) HP Chromebook 13 G1 6th Gen Intel Core m5 FHD Thin & Light Laptop (8 GB RAM/32 GB eMMC + 64 GB MicroSD Card/13.3"" (33.8 cm) FHD/Chrome OS/WiFi/Bluetooth/Webcam/Intel Graphics)","89,999",82%,"15,999",1,1
Chuwi FreeBook 13.5 Inch 2 in 1 Touchscreen Laptop,"49,990",24%,"37,990",3.7,129
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13500H 16""(40.6cm) WUXGA IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Cloud Grey/1.89Kg)","1,05,190",32%,"71,690",4.1,25
"Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450H 14"" (36cm) WUXGA IPS 300Nits Thin and Light Laptop (16GB/1TB SSD/Win 11/Office 21/BacklitKB/FHD Camera/Alexa/3 Mon Game Pass/Grey/1.9Kg)","82,590",25%,"61,720",4.1,83
Dell 15 Laptop,"48,692",20%,"38,990",3.8,499
Dell 15 Laptop,"51,254",22%,"39,990",4.3,19
Dell Inspiron 3530 Laptop,"87,262",30%,"60,990",3.7,68
ASUS Zenbook S 13 OLED (2023),"1,34,990",22%,"1,04,990",5,3
ASUS Vivobook S 14 Flip (2022),"94,990",24%,"71,990",2.9,4
"(Refurbished) Dell Latitude E7440 4th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/1 TB HDD/14"" (35.6 cm)/Windows 10 Pro/MS Office/Wifi/Bluetooth/Webcam/Integrated Graphics)","1,00,000",81%,"19,398",1.8,6
"(Refurbished) Dell Latitude E5490 (8th Gen Core i5 / 8GB RAM / 256GB SSD / 14"" Screen / Windows 10 Pro / 6 Month Warranty / Black)","95,000",78%,"21,000",No Ratings,No Ratings
"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (16 GB RAM/256 GB SSD/14"" (35","1,00,000",82%,"18,498",3.3,13
Glossy Designs Full Body Laptop Skin Upto 15.6 inch Sticker Compatible for Dell/HP/Lenovo/Acer/Sony All Laptop Size Upto 15.6 Inch - Cartoon 2,999,70%,299,4,2
ASUS VivoBook Pro 14 OLED (2021),"1,29,990",31%,"89,990",4.2,9
(Refurbished) Dell Latitude Laptop E7490 Intel Core i5 - 8350u Processor 8th Gen,"1,00,000",72%,"27,747",3,5
Lenovo ThinkBook 15 Intel Core i5 Laptop (8GB/1TB SSD/Win10/1.7 Kg/Win 10 Home),"94,550",37%,"59,320",4,1
Infinix Intel INBook X1 Pro Core i7 10th Gen,"74,999",40%,"44,990",1.6,9
Huawei MateBook D 14 Laptop,"84,990",41%,"49,990",2.9,3
(Renewed) Lenovo Thinkpad Hybrid T450s Slim Intel Core i7-5600u Processor 14.1 inches Notebook Computer (12GB Ram,"1,29,000",84%,"20,990",4.5,21
Acer Swift Go 14 AI PC Premium Laptop Intel Core Ultra 7 155H (35.56cm 14-inch IPS Touchscreen WUXGA/16GB/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win 11/MSO)SFG14-73T,"1,29,990",19%,"1,04,999",No Ratings,No Ratings
Acer Swift Go 14 AI PC Premium Laptop Intel Core Ultra 7 155H (35.56cm 14-inch OLED WQXGA+/16GB LPDDR5x/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win 11/MSO) SFG14-73,"1,29,990",19%,"1,04,999",No Ratings,No Ratings
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13420H 14"" (35.5cm) WUXGA OLED 400Nits Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Grey/1.46Kg)","94,590",26%,"70,190",3.9,14
"Lenovo V15 (AMD Ryzen 5 3500U/ 8GB RAM DDR4/ 512GB SSD/ 15.6"" FHD/Windows 10 Home) 82C700KAIH","89,870",61%,"34,990",No Ratings,No Ratings
Acer Swift X Sfx14-41G Creator Laptop Thin & Light 14 Inches Full Hd 100% Srgb AMD Ryzen 7 5800U Nvidia RTX 3050Ti Laptop Graphics 16Gb Lpddr4X 1Tb Ssd Backlit Kb 1.39Kg Mso Windows 11 Home,"1,39,999",29%,"99,990",4.1,6
(Refurbished) Lenovo ThinkPad T14 Intel Core i7 10th Gen 14-inch Full HD Laptop (16GB RAM/ 512GB SSD/ Windows 10 Pro/ Black/2 GB Graphics / 1.55 kg),"98,500",24%,"74,944",No Ratings,No Ratings
(Refurbished) Lenovo L440 Intel i5 4200M 4th Gen Personal Laptop - 14 inches/4 GB/320 GB/HD 720p/Windows 10 Pro/HD Graphics 4600/Black/2.26 Kg,"1,00,000",85%,"14,599",3.2,20
(Refurbished) Dell Latitude Laptop 5410 Intel Core i5 Mobile-10th Gen -Processor ,"1,19,000",63%,"43,690",No Ratings,No Ratings
"Lenovo IdeaPad 1 Intel Core Celeron N4020 15"" HD Thin and Light Laptop (8GB/512GB SDD/Windows 11 Home/Office 2021/1Yr Warranty/Cloud Grey/1.3Kg)","39,900",23%,"30,700",No Ratings,No Ratings
MSI Vector 16 HX,"2,29,990",2%,"2,25,862",No Ratings,No Ratings
MSI Raider GE78 HX,"3,39,990",5%,"3,21,990",3,9
(Refurbished) MSI Modern 14,"49,650",15%,"42,202.00",3,2
Chuwi FreeBook 13.5 Inch 2 in 1 Touchscreen Laptop,"49,990",24%,"37,990",3.7,129
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13500H 16""(40.6cm) WUXGA IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Cloud Grey/1.89Kg)","1,05,190",32%,"71,690",4.1,25
"Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450H 14"" (36cm) WUXGA IPS 300Nits Thin and Light Laptop (16GB/1TB SSD/Win 11/Office 21/BacklitKB/FHD Camera/Alexa/3 Mon Game Pass/Grey/1.9Kg)","82,590",25%,"61,720",4.1,83
Dell 15 Laptop,"48,692",20%,"38,990",3.8,499
Dell 15 Laptop,"51,254",22%,"39,990",4.3,19
Dell Inspiron 3530 Laptop,"87,262",30%,"60,990",3.7,68
(Refurbished) ASUS Creator Series Vivobook 16X 2023,"69,990",21%,"55,241",1,1
(Refurbished) HP Laptop 15s,"67,500",15%,"57,375",No Ratings,No Ratings
(Refurbished) Dell Vostro 3420 Laptop,"52,982",29%,"37,476",3.1,2
(Refurbished) MSI Modern 15,"50,000",22%,"38,979",4.5,2
"HP Spectre X360 13Th Gen Intel Core I7-13.5"" 3K2K(3000 X 2000) OLED 500 Nits Gorilla Glass Touch 2-in-1 Laptop(16Gb Ram/1Tb Ssd/5Mp(Ir) Camera/Backlit Kb/Mso/Pen/1.34Kg)","1,57,376",8%,"1,45,096",No Ratings,No Ratings
"Lenovo Legion 5 Pro AMD Ryzen 7 6800H 16"" (40.64cm) QHD IPS 165Hz 500Nits Gaming Laptop (16GB/1TB SSD/Win 11/Office 2021/NVIDIA RTX 3060 6GB/Alexa/3 Month Game Pass/Glacier White/2.5Kg)","1,89,000",36%,"1,21,000",4.4,12
"GIGABYTE G5 GD-51IN123SE with 15.6"" FHD 144Hz","89,990",35%,"58,490",3.9,5
"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (4 GB DDR4 RAM/500 GB HDD/12.5"" (31.7 cm)/Windows 11/MS Office/WiFi/Bluetooth 4.0/Webcam/Integrated Graphics)","1,00,000",83%,"17,084",2.9,5
"Lenovo Ideapad 3 AMD Ryzen 5 5500U 15.6"" FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/2Yr Warranty/Arctic Grey/1.65Kg)","70,080",46%,"37,523",No Ratings,No Ratings
(Refurbished) HP Pavilion 15,"66,758",35%,"43,213",No Ratings,No Ratings
HP OMEN-12th Gen Intel Core i7 16.1-inch(40.9 cm) QHD Gaming Laptop (16GB RAM/1TB Gen 4 SSD/165 Hz/RTX 3070 8GB Graphics/4 Zone KB Backlight/Max 115W TGP/Win 11/MSO/Xbox Game Pass(30 Days) 16-B1370TX,"1,89,990",33%,"1,27,990",3.9,15
Acer Swift Go 14 AI PC Premium Laptop Intel Core Ultra 7 155H (35.56cm 14-inch IPS Touchscreen WUXGA/16GB/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win 11/MSO)SFG14-73T,"1,29,990",19%,"1,04,999",No Ratings,No Ratings
Acer Swift Go 14 AI PC Premium Laptop Intel Core Ultra 7 155H (35.56cm 14-inch OLED WQXGA+/16GB LPDDR5x/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win 11/MSO) SFG14-73,"1,29,990",19%,"1,04,999",No Ratings,No Ratings
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13420H 14"" (35.5cm) WUXGA OLED 400Nits Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Grey/1.46Kg)","94,590",26%,"70,190",3.9,14
"(Refurbished) Lenovo IdeaPad Slim 3 10th Gen Intel Core i3 15.6""(39.62cm) FHD Thin & Light Laptop (8GB/2","62,004",60%,"24,933",3.4,7
(Renewed) HP 840g3 Elitebook Ultra Light 1.5 KG Hybrid (6th Gen Intel Core i5-6300U /16 GB/512 GB SSD/ 1TB HDD/Windows 10 Pro/Silver /14 Inch Screen),"91,990",67%,"30,690",2.7,8
ASUS TUF Gaming F15,"68,999",16%,"58,299",3.5,19
(Refurbished) Lenovo V14 Intel Core i3 10th Gen 14-inch HD Thin and Light Laptop (4GB RAM/ 1TB HDD/ DOS/ Grey/ 1.6 kg),"79,890",71%,"23,176",No Ratings,No Ratings
(Refurbished) Dell E7440 Latitude,"1,00,000",86%,"14,439",3.3,5
Dell (Renewed) Latitude E5440-I3-8 Gb Ssd-120 Gb Ssd 14-Inch Laptop (4Th Gen Core I3/8Gb/120Gb Ssd/Windows 7/Integrated Graphics),"1,00,000",84%,"15,517",3,2
REALMERCURY Laptop Mini EENB,"26,997",37%,"16,997",No Ratings,No Ratings
"(Refurbished) Lenovo ThinkPad 5th Gen Intel Core i5 Thin & Light HD Laptop (16 GB RAM/512 GB SSD/14"" (35.6 cm) HD/Windows 10 Pro/MS Office/WiFi/Bluetooth/Webcam/Intel Graphics)","89,999",78%,"19,999",3.3,5
HP Envy x360,"84,390",6%,"79,380",No Ratings,No Ratings
Chuwi FreeBook 13.5 Inch 2 in 1 Touchscreen Laptop,"49,990",24%,"37,990",3.7,129
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13500H 16""(40.6cm) WUXGA IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Cloud Grey/1.89Kg)","1,05,190",32%,"71,690",4.1,25
"Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450H 14"" (36cm) WUXGA IPS 300Nits Thin and Light Laptop (16GB/1TB SSD/Win 11/Office 21/BacklitKB/FHD Camera/Alexa/3 Mon Game Pass/Grey/1.9Kg)","82,590",25%,"61,720",4.1,83
Dell 15 Laptop,"48,692",20%,"38,990",3.8,499
Dell 15 Laptop,"51,254",22%,"39,990",4.3,19
Dell Inspiron 3530 Laptop,"87,262",30%,"60,990",3.7,68
(Refurbished) Dell Inspiron 5430 13th Gen Laptop,"74,490",15%,"63,316",No Ratings,No Ratings
(Refurbished) ASUS Vivobook S 15 2022,"65,990",27%,"48,186",No Ratings,No Ratings
Acer Aspire Vero 13th Gen Intel Core i3 Eco-Friendly Laptop (16 GB RAM/512 GB SSD/Windows 11 Home/MS Office),"61,999",19%,"49,990",3,1
ASUS TUF Gaming A17 (2023) 90WHr Battery,"1,45,999",1%,"1,43,999",3.2,3
HP ProBook 440 G8 Notebook PC 11th Gen Intel Core i5-1135G7 14 inch(35.6cm) Anti-Glare HD Laptop/8GB RAM/512GB SSD/Spill Resistance Keyboard/Intel Iris Xe Graphics/Win11/FPR/1.38kg 5D6U3PA,"99,780",3%,"96,500",5,1
"(Refurbished) Lenovo V15 Intel Core i3 11th Gen 1115G4 - 15.6"" (39.62 cm) FHD Thin and Light Laptop (4GB","44,999",30%,"31,635",3.4,3
HP Envy x360 2-in-1 Laptop 12th Gen Intel core i7-1255U,"1,25,999",8%,"1,15,999",5,3
"(Refurbished) Dell Latitude E7440 4th Gen Intel Core i5 Thin & Light HD Laptop (4 GB RAM/500 GB HDD/14"" (35.6 cm)/Windows 10 Pro/MS Office/Wifi/Bluetooth/Webcam/Integrated Graphics)","1,00,000",83%,"17,049",2.7,4
Flausen Original PU Leather Laptop Cover for ASUS VivoBook 14 2020 14-inch X415JA-EK312TS (BrownFC-Z55) (FLBRE45),"1,799",45%,990,4.3,3
HP Spectre 16 x360 12th Gen Intel Evo Core i7 16 inch(40.6 cm) 3K+,"1,57,376",12%,"1,38,990",3,3
Acer Swift Go 14 AI PC Premium Laptop Intel Core Ultra 7 155H (35.56cm 14-inch IPS Touchscreen WUXGA/16GB/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win 11/MSO)SFG14-73T,"1,29,990",19%,"1,04,999",No Ratings,No Ratings
Acer Swift Go 14 AI PC Premium Laptop Intel Core Ultra 7 155H (35.56cm 14-inch OLED WQXGA+/16GB LPDDR5x/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win 11/MSO) SFG14-73,"1,29,990",19%,"1,04,999",No Ratings,No Ratings
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13420H 14"" (35.5cm) WUXGA OLED 400Nits Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Grey/1.46Kg)","94,590",26%,"70,190",3.9,14
HP Spectre X360 12th Gen Intel Evo Core i7 13.5 inch(34.3 cm) OLED,"1,74,237",13%,"1,51,990",3.3,4
"ASUS Intel VivoBook 15 X515EA-BQ312WS i3-1115G4/8GB/256GB SSD/15.6""FHD Vips/Yes/Win 11 Home/MS Office H&S/Silver","52,990",28%,"37,990",3.5,4
"(Refurbished) Lenovo Legion5 Pro 11th Gen Intel Core i7 16"" (40.64cm) QHD 16:10 IPS Gaming Laptop(16GB/1","1,08,500",14%,"93,000",4,6
HP Probook 635 Aero G8 Notebook Pc,"90,431",28%,"65,090",2.4,4
"Lenovo V14 Intel Core i3 11th Gen 14"" (35.56cm) FHD Antiglare Thin and Light Laptop (4GB RAM/256GB SSD/Windows 11 Home/MS Office H&S 2021/Iron Grey/1.60 kg)","89,870",64%,"32,490",2.2,2
Lenovo V15-ADA (82C700KDIH) Laptop (AMD Ryzen 5 3500U/ 8GB RAM/ 1TB HDD/Windows 10 Home/AMD Vega8 Graphics/ 15.6 FHD/ 3 Years Warranty) Iron Grey,"45,000",12%,"39,800",4,3
(Renewed) HP 840g3 Elitebook Ultra Light 1.5 KG Hybrid (6th Gen Intel Core i5-6300U /16 GB/512 GB SSD/ 500GB HDD/Windows 10 Pro/Silver /14 Inch Screen),"1,29,000",77%,"29,290",1.8,7
ASUS 15-K513EA-BN333TS Intel Core i3-1115G4 15.6 inches FHD VivoBook (8GB RAM/ 256GB SSD/Windows 10 Home + McAfee/Ms Office H&S 2019/ FP Reader/Backlit Keyboard/ 1.75 kg/Transparent Silver),"55,990",29%,"39,880",4.3,17
ASUS ROG Strix Scar 15,"2,59,990",23%,"1,99,990",4.2,20
ASUS AMD Ryzen 5 Hexa Core 15.6 inches Thin and Light Laptop (8GB/512 GB SSD/Windows 10 Home) M515UA-EJ512TS (TRANSPARENT SILVER,"68,990",42%,"39,990",4.2,9
Chuwi FreeBook 13.5 Inch 2 in 1 Touchscreen Laptop,"49,990",24%,"37,990",3.7,129
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13500H 16""(40.6cm) WUXGA IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Cloud Grey/1.89Kg)","1,05,190",32%,"71,690",4.1,25
"Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450H 14"" (36cm) WUXGA IPS 300Nits Thin and Light Laptop (16GB/1TB SSD/Win 11/Office 21/BacklitKB/FHD Camera/Alexa/3 Mon Game Pass/Grey/1.9Kg)","82,590",25%,"61,720",4.1,83
Dell 15 Laptop,"48,692",20%,"38,990",3.8,499
Dell 15 Laptop,"51,254",22%,"39,990",4.3,19
Dell Inspiron 3530 Laptop,"87,262",30%,"60,990",3.7,68
(Renewed) HP Intel 6th Gen Core i5-6267U 14.5-Inch (36.83 cms) HD (1366 X 768) MP Laptop (8 GB/1TB HDD/Windows 10 Pro/MS Office 2019 /Intel/Silver/2.20 Kg),"1,29,000",80%,"26,190",3.5,15
(Renewed) HP 14-dv0054TU Intel 11th Gen Core i5 Family 14-Inch (35.56 cms) 1920 x 1080 Thin and Light Laptop (512 GB/512 GB SSD/Windows 10 Home/MS Office/Silver/1.41 Kg),"72,536",21%,"56,948",4.6,11
5 Ace HD Iron Man T Laptop Skin,999,72%,279,No Ratings,No Ratings
(Renewed) Dell Intel Core i3 4005U 13.3-Inch (33.78 cms) HD (1366 X 768) Pixels Laptop (4 GB/128 GB SSD/Windows 10 Pro/Intel/Grey/1.75 Kg),"1,00,000",87%,"13,136",4.1,15
"Dell G5 SE 5505 15.6"" FHD IPS Gaming Laptop","92,537",19%,"75,300",3.7,32
"(Refurbished) Dell Latitude 7480 14"" Laptop--Core i5 7th Gen || 8GB || 256 GB SSD || Win10 Pro || Black","68,500",66%,"22,999",2.7,4
(Renewed) HP 15 Thin & Light Ryzen 3-3250 AMD Laptop,"33,260",15%,"28,270",2.7,6
Acer Swift 3 SF313-52 10th Gen Intel Core i5-1035G4 Processor 13.5 inches 2256 X 1504,"99,999",40%,"59,990",2.4,31
(Renewed) Dell Latitude Intel 5th Gen Core i5 12-Inch (30.48 cms) 1366x768 Laptop (8 GB/120 GB SSD/Windows 7/Intel Integrated Graphics/Black/2 kg),"1,00,000",83%,"16,923",3.7,16
Lenovo IdeaPad 320E-15IKB 80XL03FYIN 15-inch Laptop (7th Gen Core i5-7200U/4GB/1TB/Windows 10/ Integrated Graphics/with Pre-Installed MS Office),"69,999",31%,"48,000",3.3,95
(Refurbished) iQOO Neo 7 Pro 5G (Dark Storm,"42,999",28%,"30,999",No Ratings,No Ratings
Acer Swift Go 14 AI PC Premium Laptop Intel Core Ultra 7 155H (35.56cm 14-inch IPS Touchscreen WUXGA/16GB/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win 11/MSO)SFG14-73T,"1,29,990",19%,"1,04,999",No Ratings,No Ratings
Acer Swift Go 14 AI PC Premium Laptop Intel Core Ultra 7 155H (35.56cm 14-inch OLED WQXGA+/16GB LPDDR5x/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win 11/MSO) SFG14-73,"1,29,990",19%,"1,04,999",No Ratings,No Ratings
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13420H 14"" (35.5cm) WUXGA OLED 400Nits Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Grey/1.46Kg)","94,590",26%,"70,190",3.9,14
(Refurbished) Dell Precision 7520 Intel Core i7 - 6820HQ Quad Core Processor 6th Gen,"1,49,000",70%,"44,494",No Ratings,No Ratings
(Refurbished) ASUS ROG Zephyrus G14 (2022),"2,49,000",45%,"1,36,850",No Ratings,No Ratings
"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 6600H 15.6"" (39.62cm) FHD IPS 120Hz Gaming Laptop (8GB/512GB SSD/Win11/Office/NVIDIA RTX 3050 4GB/RGB Keyboard/Onyx Grey/2.32Kg)","87,880",30%,"61,005",No Ratings,No Ratings
"(Refurbished) Lenovo Thinkpad T470 (Core i5 7th Gen/ 8GB Ram/ 512GB SSD/Webcam/ 14"" Touch/Win-10 Pro)","1,00,000",79%,"20,998",1,1
ASUS Vivobook Pro 15 Creator M6500QF-HN542WS AMD Ryzen™ 5 5600H / NVIDIA® RTX™ 2050 GPU/4GB GDDR6/16GB DDR4 /512GB PCIe® 3.0 SSD/15.6-inch FHD/Cool Silver/FP/Backlit KB/Win 11 Home/MS Office,"80,990",27%,"58,870",No Ratings,No Ratings
MSI Bravo 15 Gaming Laptop,"94,990",23%,"72,990",3.2,4
"(Refurbished) HP Chromebook 13 G1 6th Gen Intel Core m5 FHD Thin & Light Laptop (8 GB RAM/32 GB eMMC + 128 GB MicroSD Card/13.3"" (33.8 cm) FHD/Chrome OS/WiFi/Bluetooth/Webcam/Intel Graphics)","89,999",80%,"17,999",2,1
(Refurbished) Dell Latitude Laptop 5280 Intel Core i5 Mobile-7th Gen -Processor ,"89,990",77%,"20,790",4.5,3
ASUS Zenbook 14 OLED (2023),"1,35,990",35%,"88,990",No Ratings,No Ratings
(Refurbished) Infinix INBook X1 Neo Series Celeron Quad Core - (8 GB/256 GB SSD/Windows 11 Home) XL22 Thin and Light Laptop (14 inch,"39,990",50%,"19,995",2.4,3
Chuwi FreeBook 13.5 Inch 2 in 1 Touchscreen Laptop,"49,990",24%,"37,990",3.7,129
